/afe_in X,/afe_in Y,/label X,/label Y,/afe_out X,/afe_out Y,/spk_up X,/spk_up Y,/elec_in X,/elec_in Y,/spk_down X,/spk_down Y
51.55566406,0.002178139,51.55566406,2,51.51953125,0.919720547,51.51953125,1.09E-05,51.51953125,0.002237715,51.51953125,1.14E-05
51.55957031,0.002172314,51.55957031,2,51.5234375,0.924475542,51.5234375,-2.14E-06,51.5234375,0.00223347,51.5234375,-2.28E-06
51.56347656,0.002167693,51.56347656,2,51.52734375,0.930424498,51.52734375,-8.63E-06,51.52734375,0.002228292,51.52734375,-9.25E-06
51.56738281,0.002164488,51.56738281,2,51.53125,0.937512693,51.53125,-4.39E-06,51.53125,0.002222219,51.53125,-4.73E-06
51.57128906,0.002162761,51.57128906,2,51.53515625,0.945569384,51.53515625,4.81E-06,51.53515625,0.002215389,51.53515625,5.12E-06
51.57519531,0.002162486,51.57519531,0,51.5390625,0.954397642,51.5390625,6.04E-06,51.5390625,0.002207947,51.5390625,6.43E-06
51.57910156,0.00216365,51.57910156,0,51.54296875,0.962438742,51.54296875,-4.89E-06,51.54296875,0.002201696,51.54296875,-5.15E-06
51.58398438,0.002166221,51.58398438,0,51.546875,0.970502545,51.546875,1.800024805,51.546875,0.002194275,51.546875,-9.91E-06
51.58789063,0.002170053,51.58789063,0,51.55078125,0.979325048,51.55078125,-3.54E-05,51.55078125,0.00218675,51.55078125,-0.000294559
51.59179688,0.002174929,51.59179688,0,51.5546875,0.987488919,51.5546875,-1.97E-06,51.5546875,0.002179827,51.5546875,-2.10E-06
51.59570313,0.002180666,51.59570313,0,51.55859375,0.994448665,51.55859375,-7.08E-06,51.55859375,0.00217377,51.55859375,-7.54E-06
51.59960938,0.002187098,51.59960938,0,51.5625,0.999851422,51.5625,-4.26E-05,51.5625,0.002168848,51.5625,-4.58E-05
51.60351563,0.002193985,51.60351563,0,51.56640625,1.00340222,51.56640625,-1.65E-06,51.56640625,0.002165289,51.56640625,-2.27E-06
51.60742188,0.002201034,51.60742188,0,51.5703125,1.004913186,51.5703125,1.35E-05,51.5703125,0.002163193,51.5703125,1.44E-05
51.61132813,0.002208021,51.61132813,0,51.57421875,1.004365891,51.57421875,1.38E-06,51.57421875,0.002162554,51.57421875,1.47E-06
51.61523438,0.002214806,51.61523438,0,51.578125,1.001816268,51.578125,5.19E-07,51.578125,0.002163359,51.578125,4.58E-07
51.61914063,0.002221236,51.61914063,0,51.58203125,0.997596209,51.58203125,1.26E-05,51.58203125,0.002165193,51.58203125,1.35E-05
51.62304688,0.002227127,51.62304688,0,51.5859375,0.992149877,51.5859375,6.20E-07,51.5859375,0.002168137,51.5859375,6.51E-07
51.62792969,0.002232365,51.62792969,0,51.58984375,0.984803737,51.58984375,2.43E-06,51.58984375,0.002172491,51.58984375,2.60E-06
51.63183594,0.002236928,51.63183594,0,51.59375,0.976090752,51.59375,-6.20E-06,51.59375,0.002177798,51.59375,-6.52E-06
51.63574219,0.002240784,51.63574219,0,51.59765625,0.966367481,51.59765625,1.19E-05,51.59765625,0.002183882,51.59765625,1.28E-05
51.63964844,0.002243853,51.63964844,0,51.6015625,0.955912736,51.6015625,-1.13E-05,51.6015625,0.002190541,51.6015625,-1.21E-05
51.64355469,0.002246106,51.64355469,0,51.60546875,0.94508178,51.60546875,5.39E-06,51.60546875,0.002197509,51.60546875,5.66E-06
51.64746094,0.002247635,51.64746094,0,51.609375,0.934257673,51.609375,-7.65E-06,51.609375,0.002204528,51.609375,-8.08E-06
51.65136719,0.002248558,51.65136719,0,51.61328125,0.923747,51.61328125,-1.50E-06,51.61328125,0.002211414,51.61328125,1.799995906
51.65527344,0.002248939,51.65527344,0,51.6171875,0.913774312,51.6171875,3.08E-06,51.6171875,0.002218021,51.6171875,-4.37E-05
51.65917969,0.002248844,51.65917969,0,51.62109375,0.90450424,51.62109375,-3.31E-06,51.62109375,0.002224181,51.62109375,-3.47E-06
51.66308594,0.002248417,51.66308594,0,51.625,0.896469845,51.625,-1.40E-05,51.625,0.002229222,51.625,-1.49E-05
51.66796875,0.002247805,51.66796875,0,51.62890625,0.890251302,51.62890625,8.94E-06,51.62890625,0.002233506,51.62890625,9.52E-06
51.671875,0.002247069,51.671875,0,51.6328125,0.884202993,51.6328125,1.48E-05,51.6328125,0.002237892,51.6328125,1.55E-05
51.67578125,0.002246226,51.67578125,0,51.63671875,0.87896064,51.63671875,-3.75E-05,51.63671875,0.002241552,51.63671875,-3.93E-05
51.6796875,0.002245352,51.6796875,0,51.640625,0.874862282,51.640625,3.41E-05,51.640625,0.002244417,51.640625,3.57E-05
51.68359375,0.002244542,51.68359375,0,51.64453125,0.871965381,51.64453125,2.44E-07,51.64453125,0.002246489,51.64453125,1.73E-06
51.6875,0.002243809,51.6875,0,51.6484375,0.870173,51.6484375,-1.48E-07,51.6484375,0.002247866,51.6484375,1.799996404
51.69140625,0.002243127,51.69140625,0,51.65234375,0.869265714,51.65234375,-2.35E-05,51.65234375,0.002248654,51.65234375,0.000312039
51.6953125,0.00224254,51.6953125,0,51.65625,0.869197511,51.65625,2.64E-07,51.65625,0.002248916,51.65625,2.85E-07
51.69921875,0.002242144,51.69921875,0,51.66015625,0.869793408,51.66015625,-4.79E-06,51.66015625,0.002248737,51.66015625,-5.03E-06
51.703125,0.00224198,51.703125,0,51.6640625,0.87087283,51.6640625,2.30E-06,51.6640625,0.002248294,51.6640625,2.45E-06
51.70703125,0.002242035,51.70703125,0,51.66796875,0.872112912,51.66796875,-1.02E-05,51.66796875,0.002247805,51.66796875,-1.08E-05
51.71191406,0.002242351,51.71191406,0,51.671875,0.87356003,51.671875,-8.83E-06,51.671875,0.002247064,51.671875,-9.03E-06
51.71582031,0.002243031,51.71582031,0,51.67578125,0.8751838,51.67578125,-3.09E-06,51.67578125,0.002246226,51.67578125,-3.29E-06
51.71972656,0.002244122,51.71972656,0,51.6796875,0.876871703,51.6796875,-9.88E-06,51.6796875,0.002245352,51.6796875,-9.90E-06
51.72363281,0.002245562,51.72363281,0,51.68359375,0.878497858,51.68359375,-1.17E-05,51.68359375,0.002244542,51.68359375,-1.24E-05
51.72753906,0.002247282,51.72753906,0,51.6875,0.879993912,51.6875,-2.56E-05,51.6875,0.002243809,51.6875,-2.74E-05
51.73144531,0.002249253,51.73144531,0,51.69140625,0.881367935,51.69140625,-5.04E-06,51.69140625,0.002243128,51.69140625,-5.29E-06
51.73535156,0.002251401,51.73535156,0,51.6953125,0.88260618,51.6953125,-5.26E-06,51.6953125,0.00224254,51.6953125,-5.69E-06
51.73925781,0.002253574,51.73925781,0,51.69921875,0.88361133,51.69921875,2.67E-06,51.69921875,0.002242145,51.69921875,2.83E-06
51.74316406,0.002255642,51.74316406,0,51.703125,0.884303388,51.703125,1.09E-05,51.703125,0.002241981,51.703125,1.16E-05
51.74707031,0.002257568,51.74707031,0,51.70703125,0.88467259,51.70703125,-6.29E-06,51.70703125,0.002242035,51.70703125,-6.70E-06
51.75195313,0.002259336,51.75195313,0,51.7109375,0.884745039,51.7109375,6.54E-06,51.7109375,0.002242288,51.7109375,7.00E-06
51.75585938,0.002260876,51.75585938,0,51.71484375,0.884478527,51.71484375,8.51E-06,51.71484375,0.002242861,51.71484375,8.98E-06
51.75976563,0.002262137,51.75976563,0,51.71875,0.883672716,51.71875,-9.29E-06,51.71875,0.002243849,51.71875,-9.83E-06
51.76367188,0.002263169,51.76367188,0,51.72265625,0.882348469,51.72265625,-1.07E-06,51.72265625,0.002245202,51.72265625,-1.13E-06
51.76757813,0.002264046,51.76757813,0,51.7265625,0.880596807,51.7265625,3.64E-06,51.7265625,0.002246852,51.7265625,3.83E-06
51.77148438,0.002264762,51.77148438,0,51.73046875,0.878501055,51.73046875,-2.33E-05,51.73046875,0.00224876,51.73046875,-2.48E-05
51.77539063,0.002265269,51.77539063,0,51.734375,0.876132086,51.734375,-2.21E-06,51.734375,0.002250864,51.734375,-2.34E-06
51.77929688,0.002265583,51.77929688,0,51.73828125,0.873640733,51.73828125,-1.96E-06,51.73828125,0.002253031,51.73828125,-2.08E-06
51.78320313,0.002265756,51.78320313,0,51.7421875,0.871217619,51.7421875,1.69E-05,51.7421875,0.002255125,51.7421875,1.77E-05
51.78710938,0.002265777,51.78710938,0,51.74609375,0.868994894,51.74609375,5.31E-06,51.74609375,0.002257087,51.74609375,5.55E-06
51.79199219,0.00226561,51.79199219,0,51.75,0.867201578,51.75,1.40E-05,51.75,0.002258629,51.75,1.49E-05
51.79589844,0.002265296,51.79589844,0,51.75390625,0.865817796,51.75390625,9.95E-06,51.75390625,0.002260106,51.75390625,1.06E-05
51.79980469,0.002264939,51.79980469,0,51.7578125,0.864483008,51.7578125,7.23E-06,51.7578125,0.002261506,51.7578125,7.65E-06
